epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5529.24,1.10279,11.4641,0.92357,0.67615,0.28139,0.43318,0.29943,1.04247,9.54394,0.84817,0.00017294,0.00017294,0.00017294
43,5705.18,1.12969,11.5477,0.92539,0.67849,0.28114,0.43288,0.29822,1.05494,9.59908,0.84946,0.00017228,0.00017228,0.00017228
44,5866.6,1.13666,11.4933,0.93394,0.66983,0.2829,0.43433,0.29734,0.94999,9.44535,0.84581,0.00017162,0.00017162,0.00017162
45,6019.16,1.13636,11.6844,0.92791,0.63972,0.30471,0.43196,0.30048,0.95247,9.43386,0.83765,0.00017096,0.00017096,0.00017096
46,6139.04,1.13714,11.6902,0.93607,0.59936,0.28394,0.43786,0.28536,1.10321,9.73005,0.85843,0.0001703,0.0001703,0.0001703
47,6259.22,1.14072,11.4927,0.92769,0.61458,0.29508,0.44623,0.29968,1.11923,9.64732,0.85329,0.00016964,0.00016964,0.00016964
48,6375.75,1.15425,11.6188,0.93131,0.6466,0.29768,0.44324,0.29404,1.01918,9.50788,0.85249,0.00016898,0.00016898,0.00016898
49,6496.59,1.16379,11.4975,0.93097,0.60972,0.32555,0.44482,0.29518,1.06233,9.63882,0.85392,0.00016832,0.00016832,0.00016832
50,6614.23,1.13738,11.4314,0.93017,0.68151,0.29516,0.44578,0.30648,1.04916,9.43705,0.84912,0.00016766,0.00016766,0.00016766
51,6730.55,1.14657,11.7345,0.93547,0.56614,0.30681,0.42294,0.29243,1.0031,9.50762,0.84273,0.000167,0.000167,0.000167
52,6855.54,1.11353,11.3329,0.92616,0.67809,0.29022,0.44694,0.30964,1.04807,9.47377,0.84967,0.00016634,0.00016634,0.00016634
53,7037.68,1.10682,11.2843,0.92477,0.65145,0.28905,0.44171,0.30256,0.98084,9.42289,0.83862,0.00016568,0.00016568,0.00016568
54,7217.95,1.14109,11.4959,0.92781,0.68644,0.29486,0.44714,0.29619,1.03937,9.43964,0.84827,0.00016502,0.00016502,0.00016502
55,7392.39,1.10696,11.2125,0.93172,0.63722,0.29682,0.4494,0.31407,0.98398,9.37049,0.84183,0.00016436,0.00016436,0.00016436
56,7561.72,1.07192,11.0354,0.92663,0.62629,0.29404,0.44448,0.30666,0.9638,9.4391,0.84196,0.0001637,0.0001637,0.0001637
57,7735.84,1.12695,11.2719,0.92891,0.67895,0.30001,0.45045,0.31286,0.97956,9.28896,0.84709,0.00016304,0.00016304,0.00016304
58,7909.78,1.11068,11.3039,0.91811,0.7142,0.29355,0.45595,0.31855,1.06923,9.40406,0.84644,0.00016238,0.00016238,0.00016238
59,8086.58,1.12771,11.4753,0.939,0.71695,0.27278,0.44887,0.32693,0.91293,9.30054,0.83011,0.00016172,0.00016172,0.00016172
60,8261.94,1.11057,11.0298,0.92432,0.66752,0.30328,0.45965,0.32271,0.85787,9.23099,0.82903,0.00016106,0.00016106,0.00016106
