epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.084,3.50862,7.01451,1.82443,0.12561,0.41858,0.14568,0.09014,2.93499,4.21806,1.55011,0.0802317,0.00019968,0.00019968
2,324.746,2.88278,4.66811,1.72353,0.16761,0.62913,0.24192,0.16839,2.39663,3.84527,1.51222,0.0604277,0.000395723,0.000395723
3,495.013,2.78114,4.3586,1.70954,0.18096,0.60818,0.27189,0.17832,2.15944,3.75244,1.48786,0.0406198,0.000587806,0.000587806
