epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5962.31,1.2341,13.2285,0.94151,0.1949,0.64718,0.29938,0.18551,1.26004,10.6642,0.88401,0.00017294,0.00017294,0.00017294
43,6097.08,1.25886,13.2361,0.93912,0.17872,0.73566,0.29546,0.1911,1.18506,11.0191,0.87127,0.00017228,0.00017228,0.00017228
44,6231,1.25392,13.3035,0.94694,0.19955,0.70953,0.30367,0.20502,1.14677,10.5171,0.86367,0.00017162,0.00017162,0.00017162
45,6362.88,1.2642,13.2403,0.94493,0.29409,0.46623,0.31915,0.20761,1.08461,10.4069,0.86244,0.00017096,0.00017096,0.00017096
46,6493.95,1.26308,13.2587,0.94916,0.21535,0.57706,0.3057,0.19227,1.13816,10.5014,0.86493,0.0001703,0.0001703,0.0001703
47,6627.67,1.2461,13.1358,0.9365,0.18435,0.74468,0.31003,0.20436,1.13145,10.4978,0.8652,0.00016964,0.00016964,0.00016964
48,6755.32,1.26737,13.2329,0.941,0.28337,0.45941,0.3272,0.21487,0.99985,10.4361,0.85579,0.00016898,0.00016898,0.00016898
49,6886.91,1.28121,13.0678,0.9475,0.18867,0.73185,0.31378,0.20104,1.15362,10.4108,0.86951,0.00016832,0.00016832,0.00016832
50,7016.91,1.26927,13.0587,0.95114,0.30618,0.39597,0.33798,0.21637,1.13816,10.4559,0.86851,0.00016766,0.00016766,0.00016766
51,7145.41,1.26419,13.3213,0.95116,0.24977,0.51152,0.33819,0.21119,1.11041,10.3458,0.86537,0.000167,0.000167,0.000167
52,7277.56,1.21687,12.9155,0.93852,0.3972,0.32643,0.35494,0.22976,1.08882,10.3236,0.85739,0.00016634,0.00016634,0.00016634
53,7416.54,1.2151,12.6291,0.93104,0.22394,0.62851,0.33137,0.22291,1.12451,10.3113,0.86104,0.00016568,0.00016568,0.00016568
54,7552.06,1.26113,12.8943,0.94416,0.32406,0.40575,0.34808,0.2259,1.03255,10.1606,0.86253,0.00016502,0.00016502,0.00016502
55,7685.24,1.23667,12.4851,0.943,0.37199,0.39615,0.35911,0.23661,1.12842,10.2971,0.8625,0.00016436,0.00016436,0.00016436
56,7810.43,1.18639,12.3613,0.93595,0.3623,0.32604,0.36622,0.23301,1.09885,10.3166,0.8636,0.0001637,0.0001637,0.0001637
57,7939.03,1.23469,12.5931,0.94073,0.38501,0.36709,0.3542,0.23264,1.05008,10.1228,0.85308,0.00016304,0.00016304,0.00016304
58,8070.77,1.20678,12.4466,0.92749,0.30322,0.46841,0.35717,0.23708,1.08608,10.0769,0.85225,0.00016238,0.00016238,0.00016238
59,8251.42,1.20695,12.6609,0.93602,0.26569,0.55187,0.35178,0.24204,1.10736,10.2764,0.85609,0.00016172,0.00016172,0.00016172
