epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,710.218,1.20931,2.03266,0.85246,0.20535,0.55032,0.29222,0.19463,0.93065,1.74686,0.73907,0.0005842,0.0005842,0.0005842
44,725.454,1.14894,2.01207,0.85338,0.20788,0.59142,0.29616,0.19937,0.97605,1.74329,0.73725,0.0005743,0.0005743,0.0005743
45,741.115,1.17891,2.0377,0.84181,0.26371,0.5181,0.29521,0.19667,0.95388,1.73256,0.73436,0.0005644,0.0005644,0.0005644
46,756.425,1.11386,1.99659,0.85687,0.21805,0.58164,0.31638,0.21736,0.93751,1.70171,0.73023,0.0005545,0.0005545,0.0005545
47,771.112,1.14189,1.97692,0.83302,0.20612,0.5879,0.30746,0.19905,0.99745,1.72479,0.7377,0.0005446,0.0005446,0.0005446
48,785.881,1.1851,2.04214,0.86085,0.21789,0.46935,0.30717,0.20633,0.93211,1.70834,0.73157,0.0005347,0.0005347,0.0005347
49,800.846,1.19944,1.98737,0.84677,0.22811,0.57676,0.31022,0.20857,0.94115,1.71847,0.73349,0.0005248,0.0005248,0.0005248
50,816.487,1.17633,1.97275,0.85597,0.22758,0.51174,0.32638,0.22488,0.84265,1.68649,0.73162,0.0005149,0.0005149,0.0005149
51,831.541,1.1173,1.92038,0.8412,0.18608,0.69321,0.32539,0.21974,0.87428,1.72085,0.73071,0.000505,0.000505,0.000505
52,848.343,1.12818,1.97055,0.84995,0.23957,0.57025,0.31675,0.21329,0.95529,1.74128,0.73971,0.0004951,0.0004951,0.0004951
53,865.172,1.11634,1.91712,0.84049,0.25989,0.41347,0.32699,0.22289,0.91258,1.6955,0.73564,0.0004852,0.0004852,0.0004852
54,880.762,1.16572,1.98124,0.84923,0.20814,0.60467,0.33171,0.22919,0.888,1.69664,0.73532,0.0004753,0.0004753,0.0004753
55,895.215,1.09595,1.90936,0.85376,0.25857,0.49992,0.3345,0.22695,0.85697,1.67882,0.73103,0.0004654,0.0004654,0.0004654
56,910.73,1.05741,1.93991,0.85775,0.24236,0.50798,0.32944,0.22077,0.92343,1.69332,0.73402,0.0004555,0.0004555,0.0004555
57,925.83,1.05611,1.88978,0.8368,0.2367,0.53244,0.33438,0.22438,0.98603,1.65516,0.72838,0.0004456,0.0004456,0.0004456
58,941.645,1.09871,1.93743,0.83861,0.2274,0.53985,0.33695,0.23271,0.88794,1.65475,0.72575,0.0004357,0.0004357,0.0004357
59,956.702,1.07855,1.90906,0.85288,0.31103,0.35571,0.34778,0.21744,1.01518,1.67913,0.7401,0.0004258,0.0004258,0.0004258
60,972.475,1.10642,1.93139,0.84854,0.32966,0.3493,0.34573,0.22839,0.90739,1.6711,0.7354,0.0004159,0.0004159,0.0004159
61,988.169,1.10908,1.92277,0.8537,0.23193,0.56713,0.32813,0.22923,0.80781,1.70374,0.73227,0.000406,0.000406,0.000406
62,1004.74,1.03139,1.8606,0.83141,0.24098,0.48679,0.35037,0.23398,0.87464,1.66502,0.72897,0.0003961,0.0003961,0.0003961
63,1020.56,1.05414,1.86006,0.83686,0.26068,0.54319,0.35258,0.2484,0.88334,1.66001,0.72709,0.0003862,0.0003862,0.0003862
64,1037.09,1.06722,1.88045,0.82543,0.33998,0.39578,0.36377,0.24664,0.88667,1.63704,0.72379,0.0003763,0.0003763,0.0003763
65,1053.24,1.06001,1.92673,0.8568,0.25399,0.48657,0.35474,0.2504,0.84785,1.64223,0.73066,0.0003664,0.0003664,0.0003664
66,1072.3,1.09548,1.86786,0.83907,0.38965,0.39325,0.37366,0.25569,0.83878,1.67527,0.73299,0.0003565,0.0003565,0.0003565
67,1091.29,1.12652,1.87662,0.84361,0.35082,0.39423,0.36009,0.24611,0.8627,1.67007,0.73568,0.0003466,0.0003466,0.0003466
68,1114.89,0.97624,1.79889,0.82574,0.27959,0.40194,0.35681,0.24523,0.90795,1.65241,0.72797,0.0003367,0.0003367,0.0003367
69,1132.59,1.072,1.87694,0.85341,0.23729,0.54461,0.35144,0.23219,1.04119,1.68216,0.73624,0.0003268,0.0003268,0.0003268
70,1156.42,1.05271,1.84414,0.83375,0.30979,0.45807,0.37033,0.25437,0.87876,1.66169,0.73168,0.0003169,0.0003169,0.0003169
1,33.2686,2.7113,6.91174,1.19151,0,0,0,0,2.00971,4.90305,0.84154,0.067825,0.000325,0.000325
71,1183.26,1.05848,1.85652,0.85958,0.3062,0.42019,0.36735,0.25336,0.84739,1.671,0.72946,0.000307,0.000307,0.000307
2,62.6956,2.05568,4.43301,0.95919,0.00944,0.33902,0.01924,0.01349,1.70831,3.89238,0.81226,0.0348185,0.000651816,0.000651816
72,1213.86,1.01388,1.84516,0.8313,0.31512,0.40001,0.36723,0.25888,0.82279,1.65602,0.72842,0.0002971,0.0002971,0.0002971
3,92.3453,1.94832,3.85439,0.95316,0.04497,0.12883,0.03023,0.01817,1.81758,3.70191,0.81435,0.00180537,0.000972032,0.000972032
